"geneset","in_path","out_path","in_back","out_back","foldx","pvalue","bonferroni_pvalue","bh_pvalue","desc","link"
"BIOCARTA_ACE2_PATHWAY","3","1661","0","1493","Inf","0.146307183717982","193.125482507736","0.840673169147107","Angiotensin-converting enzyme 2 regulates heart function","http://www.biocarta.com/pathfiles/h_ace2Pathway.asp"
"BIOCARTA_ACTINY_PATHWAY","3","1661","10","1483","0.269170673076923","0.993439972611467","1311.34076384714","1","Y branching of actin filaments","http://www.biocarta.com/pathfiles/h_actinYPathway.asp"
"BIOCARTA_AGPCR_PATHWAY","4","1660","4","1489","0.897235576923077","0.694415534686362","916.628505785998","1","Attenuation of GPCR Signaling","http://www.biocarta.com/pathfiles/h_agpcrPathway.asp"
"BIOCARTA_AGR_PATHWAY","5","1659","15","1478","0.299078525641026","0.99715870770754","1316.24949417395","1","Agrin in Postsynaptic Differentiation","http://www.biocarta.com/pathfiles/h_agrPathway.asp"
"BIOCARTA_AHSP_PATHWAY","5","1659","2","1491","2.24308894230769","0.273110395529998","360.505722099597","1","Hemoglobin's Chaperone","http://www.biocarta.com/pathfiles/h_ahspPathway.asp"
"BIOCARTA_AKAP13_PATHWAY","1","1663","6","1487","0.149539262820513","0.994748662530656","1313.06823454047","1","Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","http://www.biocarta.com/pathfiles/h_akap13Pathway.asp"
"BIOCARTA_AKAP95_PATHWAY","2","1662","6","1487","0.299078525641026","0.975330383532902","1287.43610626343","1","AKAP95 role in mitosis and chromosome dynamics","http://www.biocarta.com/pathfiles/h_akap95Pathway.asp"
"BIOCARTA_AKAPCENTROSOME_PATHWAY","3","1661","6","1487","0.448617788461539","0.934310887853938","1233.2903719672","1","Protein Kinase A at the Centrosome","http://www.biocarta.com/pathfiles/h_akapCentrosomePathway.asp"
"BIOCARTA_AMI_PATHWAY","9","1655","0","1493","Inf","0.00310780411970113","4.1023014380055","0.0524380282419413","Acute Myocardial Infarction","http://www.biocarta.com/pathfiles/h_amiPathway.asp"
"BIOCARTA_ARENRF2_PATHWAY","1","1663","2","1491","0.448617788461538","0.894343715488168","1180.53370444438","1","Oxidative Stress Induced Gene Expression Via Nrf2","http://www.biocarta.com/pathfiles/h_arenrf2Pathway.asp"
"BIOCARTA_ARF_PATHWAY","1","1663","1","1492","0.897235576923077","0.776428184014199","1024.88520289874","1","Tumor Suppressor Arf Inhibits Ribosomal Biogenesis","http://www.biocarta.com/pathfiles/h_arfPathway.asp"
"BIOCARTA_ASBCELL_PATHWAY","2","1662","0","1493","Inf","0.277737162834075","366.613054940979","1","Antigen Dependent B Cell Activation","http://www.biocarta.com/pathfiles/h_asbcellPathway.asp"
"BIOCARTA_AT1R_PATHWAY","2","1662","11","1482","0.163133741258741","0.99910153592336","1318.81402741884","1","Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling","http://www.biocarta.com/pathfiles/h_At1rPathway.asp"
"BIOCARTA_BAD_PATHWAY","3","1661","8","1485","0.336463341346154","0.978589605256535","1291.73827893863","1","Regulation of BAD phosphorylation","http://www.biocarta.com/pathfiles/h_badPathway.asp"
"BIOCARTA_BARR_MAPK_PATHWAY","1","1663","7","1486","0.128176510989011","0.997522702387478","1316.72996715147","1","Role of fl-arrestins in the activation and targeting of MAP kinases","http://www.biocarta.com/pathfiles/h_barr-mapkPathway.asp"
"BIOCARTA_BARRESTIN_PATHWAY","1","1663","5","1488","0.179447115384615","0.988872249922055","1305.31136989711","1","fl-arrestins in GPCR Desensitization","http://www.biocarta.com/pathfiles/h_bArrestinPathway.asp"
"BIOCARTA_BARRESTIN_SRC_PATHWAY","1","1663","9","1484","0.0996928418803419","0.999449279612311","1319.27304908825","1","Roles of fl-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling","http://www.biocarta.com/pathfiles/h_bArrestin-srcPathway.asp"
"BIOCARTA_BCELLSURVIVAL_PATHWAY","1","1663","6","1487","0.149539262820513","0.994748662530656","1313.06823454047","1","B Cell Survival Pathway","http://www.biocarta.com/pathfiles/h_bcellsurvivalPathway.asp"
"BIOCARTA_BCR_PATHWAY","3","1661","8","1485","0.336463341346154","0.978589605256535","1291.73827893863","1","BCR Signaling Pathway","http://www.biocarta.com/pathfiles/h_bcrPathway.asp"
"BIOCARTA_BIOPEPTIDES_PATHWAY","9","1655","16","1477","0.504695012019231","0.970462515305906","1281.0105202038","1","Bioactive Peptide Induced Signaling Pathway","http://www.biocarta.com/pathfiles/h_biopeptidesPathway.asp"
"BIOCARTA_BLYMPHOCYTE_PATHWAY","5","1659","0","1493","Inf","0.0405655820113789","53.5465682550201","0.350578972992649","B Lymphocyte Cell Surface Molecules","http://www.biocarta.com/pathfiles/h_blymphocytePathway.asp"
"BIOCARTA_CACAM_PATHWAY","2","1662","2","1491","0.897235576923077","0.727116013432663","959.793137731115","1","Ca++/ Calmodulin-dependent Protein Kinase Activation","http://www.biocarta.com/pathfiles/h_CaCaMPathway.asp"
"BIOCARTA_CALCINEURIN_PATHWAY","2","1662","2","1491","0.897235576923077","0.727116013432663","959.793137731115","1","Effects of calcineurin in Keratinocyte Differentiation","http://www.biocarta.com/pathfiles/h_calcineurinPathway.asp"
"BIOCARTA_CARDIACEGF_PATHWAY","2","1662","3","1490","0.598157051282051","0.844718156795938","1115.02796697064","1","Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","http://www.biocarta.com/pathfiles/h_cardiacegfPathway.asp"
"BIOCARTA_CARM_ER_PATHWAY","1","1663","3","1490","0.299078525641026","0.950086282840003","1254.1138933488","1","CARM1 and Regulation of the Estrogen Receptor","http://www.biocarta.com/pathfiles/h_carm-erPathway.asp"
"BIOCARTA_CARM1_PATHWAY","3","1661","2","1491","1.34585336538462","0.55071279838775","726.94089387183","1","Transcription Regulation by Methyltransferase of CARM1","http://www.biocarta.com/pathfiles/h_carm1Pathway.asp"
