"geneset","in_path","out_path","in_back","out_back","foldx","pvalue","bonferroni_pvalue","bh_pvalue","desc","link"
"BIOCARTA_ACTINY_PATHWAY","1","232","12","2912","1.04577968526466","0.631634595661601","833.757666273313","0.875156367482941","Y branching of actin filaments","http://www.biocarta.com/pathfiles/h_actinYPathway.asp"
"BIOCARTA_AGR_PATHWAY","3","230","17","2907","2.21459227467811","0.17943504508704","236.854259514893","0.543027110131832","Agrin in Postsynaptic Differentiation","http://www.biocarta.com/pathfiles/h_agrPathway.asp"
"BIOCARTA_BCELLSURVIVAL_PATHWAY","1","232","6","2918","2.09155937052933","0.415628570803469","548.62971346058","0.746832588162483","B Cell Survival Pathway","http://www.biocarta.com/pathfiles/h_bcellsurvivalPathway.asp"
"BIOCARTA_BIOPEPTIDES_PATHWAY","1","232","24","2900","0.522889842632332","0.854030113102933","1127.31974929587","0.952180277062122","Bioactive Peptide Induced Signaling Pathway","http://www.biocarta.com/pathfiles/h_biopeptidesPathway.asp"
"BIOCARTA_CALCINEURIN_PATHWAY","1","232","3","2921","4.18311874105866","0.264224498811964","348.776338431792","0.651124657786626","Effects of calcineurin in Keratinocyte Differentiation","http://www.biocarta.com/pathfiles/h_calcineurinPathway.asp"
"BIOCARTA_CELL2CELL_PATHWAY","4","229","8","2916","6.27467811158798","0.00891928082232908","11.7734506854744","0.0699352700841712","Cell to Cell Adhesion Signaling","http://www.biocarta.com/pathfiles/h_cell2cellPathway.asp"
"BIOCARTA_CLASSIC_PATHWAY","2","231","12","2912","2.09155937052933","0.276743116736342","365.300914091972","0.672368839958014","Classical Complement Pathway","http://www.biocarta.com/pathfiles/h_classicPathway.asp"
"BIOCARTA_COMP_PATHWAY","2","231","13","2911","1.93067018818092","0.304954466097542","402.539895248755","0.69567010743871","Complement Pathway","http://www.biocarta.com/pathfiles/h_compPathway.asp"
"BIOCARTA_ECM_PATHWAY","3","230","14","2910","2.68914776210914","0.125401297836395","165.529713144042","0.473401563681448","Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia","http://www.biocarta.com/pathfiles/h_ecmPathway.asp"
"BIOCARTA_EDG1_PATHWAY","1","232","11","2913","1.14085056574327","0.602160303350183","794.851600422242","0.846331328359943","Phospholipids as signalling intermediaries","http://www.biocarta.com/pathfiles/h_edg1Pathway.asp"
