"geneset","in_path","out_path","in_back","out_back","foldx","pvalue","bonferroni_pvalue","bh_pvalue","desc","link"
"BIOCARTA_AHSP_PATHWAY","3","88","4","3062","25.2692307692308","0.000745862990346665","0.984539147257598","0.020238843894762","Hemoglobin's Chaperone","http://www.biocarta.com/pathfiles/h_ahspPathway.asp"
"BIOCARTA_AMI_PATHWAY","4","87","5","3061","26.9538461538462","7.29207231273317e-05","0.0962553545280779","0.00490999535724033","Acute Myocardial Infarction","http://www.biocarta.com/pathfiles/h_amiPathway.asp"
"BIOCARTA_CASPASE_PATHWAY","1","90","11","3055","3.06293706293706","0.296440745911894","391.301784603699","0.486837647757745","Caspase Cascade in Apoptosis","http://www.biocarta.com/pathfiles/h_caspasePathway.asp"
"BIOCARTA_CHEMICAL_PATHWAY","1","90","13","3053","2.59171597633136","0.33657271387391","444.275982313561","0.511185625582931","Apoptotic Signaling in Response to DNA Damage","http://www.biocarta.com/pathfiles/h_chemicalPathway.asp"
"BIOCARTA_CHREBP2_PATHWAY","1","90","20","3046","1.68461538461538","0.460007501942769","607.209902564455","0.595650739695124","Regulation And Function Of ChREBP in Liver","http://www.biocarta.com/pathfiles/h_Chrebp.2Pathway.asp"
"BIOCARTA_DC_PATHWAY","1","90","1","3065","33.6923076923077","0.0568276664446563","75.0125197069463","0.182209343203501","Dendritic cells in regulating TH1 and TH2 Development","http://www.biocarta.com/pathfiles/h_dcPathway.asp"
"BIOCARTA_DEATH_PATHWAY","1","90","8","3058","4.21153846153846","0.231699949960318","305.84393394762","0.425485362654402","Induction of apoptosis through DR3 and DR4/5 Death Receptors","http://www.biocarta.com/pathfiles/h_deathPathway.asp"
"BIOCARTA_EXTRINSIC_PATHWAY","4","87","2","3064","67.3846153846154","9.2809759670783e-06","0.0122508882765434","0.00187475714534982","Extrinsic Prothrombin Activation Pathway","http://www.biocarta.com/pathfiles/h_extrinsicPathway.asp"
"BIOCARTA_FAS_PATHWAY","1","90","15","3051","2.24615384615385","0.374439230975671","494.259784887885","0.556152387184452","FAS signaling pathway ( CD95 )","http://www.biocarta.com/pathfiles/h_fasPathway.asp"
"BIOCARTA_FIBRINOLYSIS_PATHWAY","3","88","3","3063","33.6923076923077","0.000435283807575407","0.574574625999537","0.0175854658260464","Fibrinolysis Pathway","http://www.biocarta.com/pathfiles/h_fibrinolysisPathway.asp"
"BIOCARTA_GSK3_PATHWAY","1","90","9","3057","3.74358974358974","0.253909385968453","335.160389478358","0.449909613733575","Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages","http://www.biocarta.com/pathfiles/h_gsk3Pathway.asp"
"BIOCARTA_HIVNEF_PATHWAY","1","90","21","3045","1.6043956043956","0.475676927109608","627.893543784682","0.604319114944282","HIV-I Nef: negative effector of Fas and TNF","http://www.biocarta.com/pathfiles/h_HivnefPathway.asp"
"BIOCARTA_IL10_PATHWAY","1","90","7","3059","4.81318681318681","0.208836868026501","275.664665794981","0.425485362654402","IL-10 Anti-inflammatory Signaling Pathway","http://www.biocarta.com/pathfiles/h_il10Pathway.asp"
"BIOCARTA_INTRINSIC_PATHWAY","4","87","9","3057","14.974358974359","0.000378605479277823","0.499759232646726","0.0175854658260464","Intrinsic Prothrombin Activation Pathway","http://www.biocarta.com/pathfiles/h_intrinsicPathway.asp"
"BIOCARTA_LONGEVITY_PATHWAY","1","90","4","3062","8.42307692307692","0.136132821733817","179.695324688638","0.348086455572545","The IGF-1 Receptor and Longevity","http://www.biocarta.com/pathfiles/h_longevityPathway.asp"
"BIOCARTA_MITOCHONDRIA_PATHWAY","1","90","8","3058","4.21153846153846","0.231699949960318","305.84393394762","0.425485362654402","Role of Mitochondria in Apoptotic Signaling","http://www.biocarta.com/pathfiles/h_mitochondriaPathway.asp"
"BIOCARTA_NDKDYNAMIN_PATHWAY","2","89","7","3059","9.62637362637363","0.0259322125559682","34.230520573878","0.116199611996682","Endocytotic role of NDK, Phosphins and Dynamin","http://www.biocarta.com/pathfiles/h_ndkDynaminPathway.asp"
"BIOCARTA_SARS_PATHWAY","1","90","6","3060","5.61538461538462","0.185301122681752","244.597481939912","0.406856812844716","The SARS-coronavirus Life Cycle","http://www.biocarta.com/pathfiles/h_SARSpathway.asp"
"BIOCARTA_SET_PATHWAY","1","90","4","3062","8.42307692307692","0.136132821733817","179.695324688638","0.348086455572545","Granzyme A mediated Apoptosis Pathway","http://www.biocarta.com/pathfiles/h_setPathway.asp"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","1","90","18","3048","1.87179487179487","0.427266177276017","563.991354004342","0.579246763823862","Alanine, aspartate and glutamate metabolism","http://www.genome.jp/kegg/pathway/hsa/hsa00250.html"
"KEGG_ALZHEIMERS_DISEASE","1","90","68","2998","0.495475113122172","0.870039747036271","1148.45246608788","0.910611548711537","Alzheimer's disease","http://www.genome.jp/kegg/pathway/hsa/hsa05010.html"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","1","90","18","3048","1.87179487179487","0.427266177276017","563.991354004342","0.579246763823862","Amyotrophic lateral sclerosis (ALS)","http://www.genome.jp/kegg/pathway/hsa/hsa05014.html"
"KEGG_APOPTOSIS","1","90","21","3045","1.6043956043956","0.475676927109608","627.893543784682","0.604319114944282","Apoptosis","http://www.genome.jp/kegg/pathway/hsa/hsa04210.html"
