"geneset","in_path","out_path","in_back","out_back","foldx","pvalue","bonferroni_pvalue","bh_pvalue","desc","link"
"BIOCARTA_ACTINY_PATHWAY","1","249","12","2895","0.969","0.658578773951383","869.323981615826","0.84531864275578","Y branching of actin filaments","http://www.biocarta.com/pathfiles/h_actinYPathway.asp"
"BIOCARTA_AGPCR_PATHWAY","2","248","6","2901","3.876","0.12737052588446","168.129094167487","0.488738146801445","Attenuation of GPCR Signaling","http://www.biocarta.com/pathfiles/h_agpcrPathway.asp"
"BIOCARTA_AGR_PATHWAY","1","249","19","2888","0.612","0.80894804184388","1067.81141523392","0.903401485524333","Agrin in Postsynaptic Differentiation","http://www.biocarta.com/pathfiles/h_agrPathway.asp"
"BIOCARTA_ARENRF2_PATHWAY","1","249","2","2905","5.814","0.219314993721074","289.495791711817","0.628279184911096","Oxidative Stress Induced Gene Expression Via Nrf2","http://www.biocarta.com/pathfiles/h_arenrf2Pathway.asp"
"BIOCARTA_ASBCELL_PATHWAY","2","248","0","2907","Inf","0.00624780950293331","8.24710854387196","0.0578898599256164","Antigen Dependent B Cell Activation","http://www.biocarta.com/pathfiles/h_asbcellPathway.asp"
"BIOCARTA_AT1R_PATHWAY","1","249","12","2895","0.969","0.658578773951383","869.323981615826","0.84531864275578","Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling","http://www.biocarta.com/pathfiles/h_At1rPathway.asp"
"BIOCARTA_BARR_MAPK_PATHWAY","1","249","7","2900","1.66114285714286","0.483545821441823","638.280484303207","0.795540992156312","Role of fl-arrestins in the activation and targeting of MAP kinases","http://www.biocarta.com/pathfiles/h_barr-mapkPathway.asp"
"BIOCARTA_BARRESTIN_PATHWAY","1","249","5","2902","2.3256","0.390680571811627","515.698354791347","0.769861892903015","fl-arrestins in GPCR Desensitization","http://www.biocarta.com/pathfiles/h_bArrestinPathway.asp"
"BIOCARTA_BARRESTIN_SRC_PATHWAY","1","249","9","2898","1.292","0.562305582253663","742.243368574835","0.803487253678126","Roles of fl-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling","http://www.biocarta.com/pathfiles/h_bArrestin-srcPathway.asp"
"BIOCARTA_BCR_PATHWAY","2","248","9","2898","2.584","0.214597910068774","283.269241290782","0.628279184911096","BCR Signaling Pathway","http://www.biocarta.com/pathfiles/h_bcrPathway.asp"
